number,name,tasks
10000,Vacation,Vacation
10100,Business Development,Business Development
10200,KWA Non Billable Improvements,KWA Non Billable Improvements
13036,Choice - Coquitlam (Superstore),Standard
14050,0976440 BC Ltd. - 3011 No. 5 Road Richmond,Standard
14055,Walmart Gander,Standard
15153,Walmart Kitchener,Standard
15191,Windsor West Gill Investments (Ram-Land),Standard
15196,CRH - 3087 Harrison Court,Standard
16211,UDGA 1301 Lougheed Highway (Choice),Standard
16212,Medallion - Maurier and Dufferin Commercial,Standard
16213,Arutip - Part Lot Agreement Mount Pleasant,Standard
16215,33 Fairwood Place - Country Green Homes,Standard
16216,VGA Petsmart Woodstock,Standard
16221,3151 Walmart,Standard
16222,3650 Walmart,Standard
16223,3013 Walmart,Standard
16224,3152 Walmart,Standard
16225,5838 Walmart (Surrey West),Standard
16226,3169 Walmart,Standard
16227,3155 Walmart,Standard
16228,3001 Walmart,Standard
16229,3186 Walmart,Standard
16235,1038 Walmart (Strathroy),Standard
16245,Sutton Retirement Home,Standard
16251,Walmart Metropolis,Standard
16252,Lowe's Waterdown,Lowes
16257,Walmart Cobourg 3133 - Relay,Standard
17266,Westdellcorp - Uxbridge,Standard
17275,Harrison Court Servicing,Standard
17276,Walmart Okotoks (5708),Standard
17278,Walmart New Westminster (5777),Standard
17279,Walmart Thompson (3102),Standard
17280,Walmart Langley (3158),Standard
17281,Walmart Duncan (3025),Standard
17282,Walmart Edmonton E (3026),Standard
17283,Walmart Lethbridge (3048),Standard
17284,Walmart Red Deer (3194),Standard
17285,Walmart Olds (1084),Standard
17286,Walmart Winnipeg N (3118),Standard
17287,Walmart Winnipeg C (3116),Standard
17288,Walmart Yorkton (3176),Standard
17289,Region of York 13461 Hwy 48,Standard
17298,PenEquity London,17298
17301,Walmart PDC (SCDC North),Standard
17314,Meadowbrook Road Burlington,Standard
17327,Saanich RV Park,Standard
17330,Walmart St. Albert (3087),Standard
17331,Walmart Calgary NW (5726),Standard
17332,Walmart Calgary W (3009),Standard
17333,Walmart Abbotsford (3019),Standard
17334,Walmart Langford (3188),Standard
17335,Walmart Victoria (3109),Standard
17336,Walmart Winnipeg S (3119),Standard
17338,Fieldgate Oshawa,Standard
18343,UDGA Patricia Bay Saanich,Standard
18348,Walmart Regina East (3179),Standard
18351,Arbutus Phase 6A,Standard
18352,Choice Abbotsford Gladwin,Standard
18355,Choice Lethbridge,Standard
18356,Walmart Newmarket (3062),Standard
18362,Lowe's Lime Ridge Mall (Hamilton),Lowes
18366,Gykan Enterprises - 1550 Birchmount,Standard
18368,Walmart Grandview (1104),Standard
18369,Choice Lethbridge Kal Tire,Standard
18379,Morriston Vet Clinic,Standard
18386,Walmart Squamish (1015),Standard
18387,Walmart DC 6063 Calgary,Standard
18388,Walmart DC 6081 Rocky View (Calgary) Balzac,Standard
18389,Walmart Hillside (Victoria),Standard
18390,Walmart Kingsway (Edmonton),Standard
18391,Walmart Fort McMurray (Stone Creek),Standard
18393,Lowe's Letter of Credit Project,Lowes
18397,Walmart Northland (3011),Standard
18398,Whitby - Miller Planning,Standard
18399,Newtonville - Miller Planning,Standard
19401,Orleans (2705 Mer Bleue Road),Standard
